Id,Label,timeset,username,category,post_activity,fan_count,talking_about_count,users_can_post,link
615085188507202,Apple Music,,applemusic,Product/Service,0.17,3747817,21209,yes,https://www.facebook.com/applemusic/
730248983799095,Carpool Karaoke,,CarpoolKaraoke,TV Show,0.03,466221,2310,yes,https://www.facebook.com/CarpoolKaraoke/
87420439737,Jacob Latimore,,jacoblatimore,Public Figure,0.17,1376669,1211,yes,https://www.facebook.com/jacoblatimore/
6558867050,Alicia Keys,,aliciakeys,Musician/Band,0.03,33537447,64284,no,https://www.facebook.com/aliciakeys/
1669856786633898,Julie Adenuga,,julieadenugaofficial,Public Figure,0.01,4446,67,yes,https://www.facebook.com/julieadenugaofficial/
189868184706008,Beat Bugs,,BeatBugsOfficial,TV Show,0.05,33427,199,yes,https://www.facebook.com/BeatBugsOfficial/
104345379992328,MIKE D,,MikeD2016,Musician/Band,0.02,21637,33,yes,https://www.facebook.com/MikeD2016/
16577276577,Shazam,,Shazam,Product/Service,0.06,575544,3164,yes,https://www.facebook.com/Shazam/
100484820802,iTunes,,iTunes,Product/Service,0.01,30094626,12536,yes,https://www.facebook.com/iTunes/
447425735281,Xzibit,,xzibit,Musician/Band,0.02,2148538,1639,yes,https://www.facebook.com/xzibit/
39355118462,City of Hope,,cityofhope,Hospital,0.04,185926,12900,yes,https://www.facebook.com/cityofhope/
19366141168,Calvin Harris,,calvinharris,Musician/Band,0.01,13959417,14381,no,https://www.facebook.com/calvinharris/
103590326358983,Brass Knuckles,,BrassKnucklesMusic,Musician/Band,0,68310,35,yes,https://www.facebook.com/BrassKnucklesMusic/
137438429783226,GoldLink,,goldlink,Musician/Band,0.01,93311,547,yes,https://www.facebook.com/goldlink/
6394861658,Grateful Dead,,gratefuldead,Musician/Band,0.16,1976529,5937,yes,https://www.facebook.com/gratefuldead/
390297510999650,Pitchfork Music Festival,,PitchforkMusicFestival,Performance & Event Venue,0.06,51457,100,yes,https://www.facebook.com/PitchforkMusicFestival/
10959868407,Sia,,SiaMusic,Musician/Band,0.73,7189700,17674,yes,https://www.facebook.com/SiaMusic/
115236388496238,Paper City Music Festival,,papercitymusicfestival,Live Music Venue,0,2730,0,yes,https://www.facebook.com/papercitymusicfestival/
6708101101,Jim Beam,,JimBeamUS,Wine/Spirits,0,3226321,2580,no,https://www.facebook.com/JimBeamUS/
312372693730,Italian Cards,,,Games/Toys,0,199,0,yes,https://www.facebook.com/Italian-Cards-312372693730/
205188069505931,Public Enemy,,publicenemy,Musician/Band,0,1271154,948,yes,https://www.facebook.com/publicenemy/
9189674485,Ed Sheeran,,EdSheeranMusic,Musician/Band,0.01,18538175,104021,no,https://www.facebook.com/EdSheeranMusic/
5482789690,The Wiltern,,wiltern,Live Music Venue,0.07,90710,2491,yes,https://www.facebook.com/wiltern/
14226545351,Red Bull,,RedBull,Media/News Company,0.42,48959540,689181,no,https://www.facebook.com/RedBull/
