Id,Label,timeset,username,category,post_activity,fan_count,talking_about_count,users_can_post,link
26500661542,Stan Lee,,realstanlee,Writer,0.62,6464746,60581,yes,https://www.facebook.com/realstanlee/
396645047055583,Hero Complex Gallery,,HeroComplexGallery,Art Gallery,0.01,20902,19,yes,https://www.facebook.com/HeroComplexGallery/
155052495031963,Box Boulevard,,BoxBlvd,Internet Company,0,29,0,yes,https://www.facebook.com/BoxBlvd/
1723445087682036,Global Superhero Initiative,,GlobalSuperheroInitiative,Nonprofit Organization,0,199,7,yes,https://www.facebook.com/GlobalSuperheroInitiative/
473534849474333,Zacksploitation Comics,,zacksploitation,Artist,0.03,4923,419,yes,https://www.facebook.com/zacksploitation/
216818815001367,The Animated Life,,TheAnimatedLife,Artist,0,13391,61,yes,https://www.facebook.com/TheAnimatedLife/
299223670114950,"Guy Kinnear, Artist",,,Artist,0.01,416,4,yes,https://www.facebook.com/Guy-Kinnear-Artist-299223670114950/
107862852600046,Sky One,,skyone,TV Channel,0.02,401837,1980,yes,https://www.facebook.com/skyone/
559551637571830,Stan Lee's Lucky Man,,StanLeesLuckyMan,TV Show,0,11004,69,no,https://www.facebook.com/StanLeesLuckyMan/
179184988762983,Sacha Goldberger,,,Artist,0.01,30970,19,yes,https://www.facebook.com/Sacha-Goldberger-179184988762983/
1261958363863388,Stan Lee's God Woke,,StanLeesGodWoke,Brand,0,782,0,yes,https://www.facebook.com/StanLeesGodWoke/
726781774124762,For The Win Project,,ForTheWinProject,Nonprofit Organization,0.01,4691,7,yes,https://www.facebook.com/ForTheWinProject/
979959432029504,Marvelous TV,,MarvelousTV,Community,0.01,837,3,yes,https://www.facebook.com/MarvelousTV/
305445076247141,Chakra Comics,,chakracomics,Fictional Character,0,1865,2,yes,https://www.facebook.com/chakracomics/
154424564600210,Los Angeles  Comic Con,,ComicConLA,Event,0.12,112740,3076,yes,https://www.facebook.com/ComicConLA/
148183251887331,Yoshiki,,YoshikiOfficial,Musician/Band,0.03,1829517,8035,no,https://www.facebook.com/YoshikiOfficial/
252200558126475,Blood Red Dragon,,bloodreddragonofficial,Fictional Character,0,3351,3,yes,https://www.facebook.com/bloodreddragonofficial/
196074973829714,Stan Lee's Kids Universe,,StanLeesKidsUniverse,Publisher,0,8097,4,yes,https://www.facebook.com/StanLeesKidsUniverse/
317772614923721,BywayDesign,,bywaydesign,Artist,0.08,317,11,yes,https://www.facebook.com/bywaydesign/
42301872141,Disney Fine Art,,DisneyFineArt,Home Decor,0.01,14319,148,no,https://www.facebook.com/DisneyFineArt/
404472443082000,Your Daily Inspiration,,CoolPopsArt,Performance Art,0.06,1072,14,no,https://www.facebook.com/CoolPopsArt/
364055440387154,Anthony Petrie Print + Product Design,,anthonypetriedesign,Artist,0,2574,3,yes,https://www.facebook.com/anthonypetriedesign/
165293747006921,Grey Matter Art,,greymatterartllc,Retail Company,0.02,13929,164,yes,https://www.facebook.com/greymatterartllc/
1673065886336997,CGFGC,,CannedGoodsForGood,Cause,0,63,0,yes,https://www.facebook.com/CannedGoodsForGood/
1027210030727279,Luke Preece Design & Illustration,,lukepreeceart,Artist,0.02,873,68,yes,https://www.facebook.com/lukepreeceart/
385146171533416,Red Carpet Report on Mingle Media TV,,RedCarpetReport,TV Show,0.13,6753,28,yes,https://www.facebook.com/RedCarpetReport/
178691935513591,Curiousjoi,,curiousjoi,Public Figure,0.01,3477,3,yes,https://www.facebook.com/curiousjoi/
136327626401155,Bennett Slater's Studio,,BennettSlatersStudio,Artist,0,1430,0,yes,https://www.facebook.com/BennettSlatersStudio/
87877001755,Ania Tomicka,,Ania.Tomicka.Art,Artist,0.01,401418,469,yes,https://www.facebook.com/Ania.Tomicka.Art/
145890595497280,Ise Ananphada,,IseAnanphada,Artist,0,18049,13,yes,https://www.facebook.com/IseAnanphada/
138625192874754,Alternative Movie Posters,,AlternativeMoviePosters,Arts & Humanities Website,0.14,11689,513,yes,https://www.facebook.com/AlternativeMoviePosters/
128970157145802,Team Click,,ClickComm,Public Relations Agency,0,718,0,yes,https://www.facebook.com/ClickComm/
204339369631,The Terminator FANS,,THETERMINATORFANS,News & Media Website,0.14,19479,1006,yes,https://www.facebook.com/THETERMINATORFANS/
175735592499371,Adam Rabalais,,adamrabalaisart,Artist,0,1592,6,yes,https://www.facebook.com/adamrabalaisart/
196219991026,VG Kids,,,Business Service,0.04,2598,42,yes,https://www.facebook.com/VG-Kids-196219991026/
148233435227729,Mainger,,m4inger,Artist,0,3504,2,yes,https://www.facebook.com/m4inger/
1559752740926695,Luke Harrington Illustration,,lukeharringtonart,Artist,0,555,0,yes,https://www.facebook.com/lukeharringtonart/
10765693196,Screen Rant,,ScreenRant,Media/News Company,3.3,1604383,353667,no,https://www.facebook.com/ScreenRant/
65828160736,Bartosz Kosowski,,bartosz.kosowski,Artist,0.02,14132,147,yes,https://www.facebook.com/bartosz.kosowski/
680878155320799,Level Frames,,levelframes,Home Decor,0.02,6557,25,yes,https://www.facebook.com/levelframes/
386579461505708,Expresso Beans,,,Website,0,2873,2,no,https://www.facebook.com/Expresso-Beans-386579461505708/
275604505913599,We Love Cinema,,welovecinemafr,Entertainment Website,0.02,122071,3893,yes,https://www.facebook.com/welovecinemafr/
210809168964891,Fashion and Action,,,Personal Blog,0.01,751,1,yes,https://www.facebook.com/Fashion-and-Action-210809168964891/
393386711693,io9,,io9.com,Science Website,0.45,635487,11888,no,https://www.facebook.com/io9.com/
1047840735280734,Time Beards,,timebeards,Event Planner,0,313,0,yes,https://www.facebook.com/timebeards/
200482460124706,Tyler Hays Art,,tylerhaysart,Artist,0,4040,42,yes,https://www.facebook.com/tylerhaysart/
642348352454509,Let's Voltron: The Official Voltron Podcast,,letsvoltron,Podcast,0.03,4041,236,yes,https://www.facebook.com/letsvoltron/
120871391269685,Voltron,,VoltronOfficial,TV Show,0.03,328527,9657,no,https://www.facebook.com/VoltronOfficial/
826329210723246,Christina Chung,,christinaillos,Artist,0.01,546,0,yes,https://www.facebook.com/christinaillos/
209663759212175,Van Orton Design,,vanortondesign,Artist,0.01,12167,16,yes,https://www.facebook.com/vanortondesign/
168608973308985,Peach Momoko,,peachmomoko60,Art,0.05,1127,163,yes,https://www.facebook.com/peachmomoko60/
244406808995574,Silhouettes by Jordan,,SilhouettesByJordan,Artist,0.01,2023,77,yes,https://www.facebook.com/SilhouettesByJordan/
106091378731,"Levy Creative Management, LLC",,levycreative,Local Business,0.02,1272,3,no,https://www.facebook.com/levycreative/
355287557837850,Marie Bergeron Illustration,,mbillustrations,Artist,0.01,4522,166,yes,https://www.facebook.com/mbillustrations/
152117744823264,Supersonic Art,,supersonicart,Personal Blog,0.1,101306,444,no,https://www.facebook.com/supersonicart/
233071363415,Kevin Bannister Illustration,,KBannister.illustration,Artist,0,505,0,yes,https://www.facebook.com/KBannister.illustration/
10230702430,Audrey Kawasaki's Art,,audreykawasaki,Artist,0.01,702626,386,yes,https://www.facebook.com/audreykawasaki/
362602743770130,The Electric Art of Jeremy Wheeler,,BangMedia,Artist,0.01,708,29,yes,https://www.facebook.com/BangMedia/
427437060637960,The artistic mishaps of some dude named Jason,,artisticmishaps,Artist,0,534,0,yes,https://www.facebook.com/artisticmishaps/
119307614943011,Juan Esteban - JER,,JerJuanEsteban,Artist,0,2529,35,yes,https://www.facebook.com/JerJuanEsteban/
226800064000695,Manfish Inc.,,manfishinc,Artist,0.02,10904,87,yes,https://www.facebook.com/manfishinc/
1524191551212964,The Wandering Podcast,,WanderingPodcast,Radio Station,0,233,0,yes,https://www.facebook.com/WanderingPodcast/
258606450993663,"Hail, Caesar!",,HailCaesarMovie,Movie,0,199503,39,no,https://www.facebook.com/HailCaesarMovie/
360217092209,Mama's Sauce,,mamassauce,Printing Service,0.01,9242,22,yes,https://www.facebook.com/mamassauce/
135674463136441,Matt Griffin Illustration,,MattGriffinIllustrator,Artist,0.01,2507,48,yes,https://www.facebook.com/MattGriffinIllustrator/
415217558550341,Erin Gallagher / erinillustrates,,erinillustrates,Artist,0.01,310,0,yes,https://www.facebook.com/erinillustrates/
159087727618793,Benedict Woodhead,,benedictwoodhead,Artist,0,875,14,yes,https://www.facebook.com/benedictwoodhead/
157642574484,CRYPTIK,,CryptikMovement,Artist,0.02,303148,1288,yes,https://www.facebook.com/CryptikMovement/
1483383441876019,The Art of Liam Atkin,,liamatkinartwork,Artist,0,812,1,yes,https://www.facebook.com/liamatkinartwork/
195588878048,Hugo Hernandez Quezada - DiseÃ±o,,ldg.hugo,Professional Service,0,1154,0,no,https://www.facebook.com/ldg.hugo/
13086273953,Gallery 1988: LA,,galleries1988,Art Gallery,0.29,39440,522,no,https://www.facebook.com/galleries1988/
375277029226882,Art of Danny Haas,,artofdanny,Artist,0.01,13200,273,yes,https://www.facebook.com/artofdanny/
147415861937130,Disney D23,,DisneyD23,Entertainment Website,0.13,808309,22128,no,https://www.facebook.com/DisneyD23/
356264098895,PIXELDRIP GALLERY,,PixelDripGallery,Local Business,0,662,1,yes,https://www.facebook.com/PixelDripGallery/
19004299144,Sideshow Collectibles,,sideshowcollectibles,Retail Company,0.09,471784,26179,no,https://www.facebook.com/sideshowcollectibles/
376514640670,THE FIRE WIRE,,THEFIREWIRE,Entertainment Website,0.1,1924,20,yes,https://www.facebook.com/THEFIREWIRE/
53575623899,The Half and Half,,theHalfandHalf,Screen Printing & Embroidery,0.02,7361,149,yes,https://www.facebook.com/theHalfandHalf/
156399917718028,Sam Gilbey Illustrates,,samgilbeyillustrates,Artist,0.02,4742,71,yes,https://www.facebook.com/samgilbeyillustrates/
284752314970354,Naomi Grossman,,NaomiWGrossman,Artist,0.05,107629,276,yes,https://www.facebook.com/NaomiWGrossman/
104193958449,Nan Lawson,,nanlawsonart,Artist,0.02,9551,302,yes,https://www.facebook.com/nanlawsonart/
134825163262285,The Rock Father,,therockfather,Public Figure,0.1,16479,117,yes,https://www.facebook.com/therockfather/
61224900854,TeeFury,,teefury,Clothing (Brand),0.41,735483,2623,yes,https://www.facebook.com/teefury/
259217361315,Tanoshiboy: Dennis Salvatier,,tanoshiboy,Artist,0,3324,3,yes,https://www.facebook.com/tanoshiboy/
263114743702338,Yellowmenace,,YellowMence,Arts & Humanities Website,0.06,238,11,yes,https://www.facebook.com/YellowMence/
496202217211360,Spectrographs and Soliloquies,,spectromovie,Movie,0,231,0,yes,https://www.facebook.com/spectromovie/
15896141597,"Brian C. Roll, Odyssey Art",,OdysseyArt,Artist,0.03,7609,50,yes,https://www.facebook.com/OdysseyArt/
572233649503888,Paul Jackson Artist,,pauljacksonartist,Artist,0.01,43573,483,yes,https://www.facebook.com/pauljacksonartist/
319275759773,Geek-Art.net,,geekartofficial,Arts & Humanities Website,0.01,92022,1243,yes,https://www.facebook.com/geekartofficial/
6883542487,Marvel,,Marvel,Product/Service,0.31,31346026,55311,no,https://www.facebook.com/Marvel/
154213784747095,Robert Downey Jr,,robertdowneyjr,Artist,0.04,29350065,166394,no,https://www.facebook.com/robertdowneyjr/
270988983068230,Black Widow,,BlackWidowNatashaRomanoffScarlettJohanssonOfficial,Movie Character,0.01,35740,187,yes,https://www.facebook.com/BlackWidowNatashaRomanoffScarlettJohanssonOfficial/
140817712791567,Firefly Online Game,,FireflyOnlineGame,Video Game,0,71798,23,no,https://www.facebook.com/FireflyOnlineGame/
193028701665,Abigail Larson,,abigaillarsonillustration,Artist,0.01,41921,804,no,https://www.facebook.com/abigaillarsonillustration/
329535631320,William Henry Design,,williamhenrydesign,Artist,0.01,1004,1,yes,https://www.facebook.com/williamhenrydesign/
126974204024870,Tom Kurzanski,,t.kurzanski,Artist,0,2224,2,yes,https://www.facebook.com/t.kurzanski/
48103536156,James Gunn,,jgunn,Artist,0.02,586607,2454,yes,https://www.facebook.com/jgunn/
760154327403900,HagCult,,hagcult,Artist,0.01,767,19,yes,https://www.facebook.com/hagcult/
558960510793252,Joshua Roman Art,,jromanart,Artist,0,3210,71,yes,https://www.facebook.com/jromanart/
144262212424306,This Is Infamous,,tisinfamous,Entertainment Website,0,1895,1,yes,https://www.facebook.com/tisinfamous/
620113761334680,Very Very Kult,,VeryVeryKult,News & Media Website,0,18,1,yes,https://www.facebook.com/VeryVeryKult/
398787050157783,Skinner Creative,,SkinnerCreative,Company,0,2389,11,yes,https://www.facebook.com/SkinnerCreative/
164799456910585,Tom Miatke - Art & Design,,tommiatkedesign,Artist,0,1183,1,yes,https://www.facebook.com/tommiatkedesign/
321467166261,Inspirationfeed,,inspirationfeed,Website,0.01,225443,990,no,https://www.facebook.com/inspirationfeed/
787717784598004,Vice Press,,vicepressnews,Art Gallery,0.01,2834,99,no,https://www.facebook.com/vicepressnews/
351605308190652,Missed Prints,,missedprints,Entertainment Website,0,4533,16,yes,https://www.facebook.com/missedprints/
289265191114612,Bruno Illustration,,brunodigitalillustration,Arts & Entertainment,0.03,2792,63,yes,https://www.facebook.com/brunodigitalillustration/
22133851421,OriotoPosters,,OriotoPosters,Artist,0.01,4050,236,yes,https://www.facebook.com/OriotoPosters/
337036405404,TOYSREVIL,,toysreviler,Website,1.23,27710,643,yes,https://www.facebook.com/toysreviler/
139088012797431,Squeegeeville,,squeegeeville,Product/Service,0,1734,30,yes,https://www.facebook.com/squeegeeville/
8473603278,IDW Publishing,,idwpublishing,Publisher,0.12,134347,1275,yes,https://www.facebook.com/idwpublishing/
120515345995,Casey Callender,,CaseyCallender,Artist,0,1676,2,yes,https://www.facebook.com/CaseyCallender/
1489261961358939,Hanged,,hanged.eu,Society & Culture Website,0,50,0,yes,https://www.facebook.com/hanged.eu/
635500303204761,EAT MORE ART OUT,,eatmoreartout,Arts & Entertainment,0,708,0,yes,https://www.facebook.com/eatmoreartout/
104912387826,Greenbeanbaby,,greenbeanbabyart,Artist,0.01,919,1,yes,https://www.facebook.com/greenbeanbabyart/
153430351473564,DZO,,dzoartwork,Artist,0,21484,18,yes,https://www.facebook.com/dzoartwork/
102608881476,Sarah Joncas,,sarahjoncasart,Artist,0,23391,80,yes,https://www.facebook.com/sarahjoncasart/
218380434844431,Nico Marlet,,,Artist,0,1513,1,yes,https://www.facebook.com/Nico-Marlet-218380434844431/
276165002418417,Nico Marlet,,,Artist,0,7118,5,yes,https://www.facebook.com/Nico-Marlet-276165002418417/
427363377357927,Stefania Schino - illustrations,,,Artist,0,557,0,yes,https://www.facebook.com/Stefania-Schino-illustrations-427363377357927/
124409704274214,DW Design,,kilianeng,Artist,0,19642,30,yes,https://www.facebook.com/kilianeng/
151242860897,House of Mystery,,,Just For Fun,0.18,1849,42,yes,https://www.facebook.com/House-of-Mystery-151242860897/
224055164464759,Kevin M Wilson - Ape Meets Girl,,ApeMeetsGirl,Artist,0.01,2211,26,yes,https://www.facebook.com/ApeMeetsGirl/
241585096018023,Nautilus Art Prints,,NautilusArtPrints,Art,0.01,5478,83,no,https://www.facebook.com/NautilusArtPrints/
293621757453096,Zeitgaiss,,zeitgaiss,Arts & Humanities Website,0,654,0,yes,https://www.facebook.com/zeitgaiss/
150598778383837,Popeye,,Popeye,Fictional Character,0.06,9788064,16020,no,https://www.facebook.com/Popeye/
225096980839858,PopCulture.com,,popculturedotcom,Entertainment Website,3.09,6384888,235464,yes,https://www.facebook.com/popculturedotcom/
100106260072858,MJ Lindo's Art,,mjlindoart,Artist,0.02,6161,70,yes,https://www.facebook.com/mjlindoart/
535281233184581,Alternative Movie Posters: Film Art from the Underground,,altfilmart,Book,0,7754,11,yes,https://www.facebook.com/altfilmart/
158258074212328,Doaly Design Services,,doaly.design.services,Artist,0,2357,13,yes,https://www.facebook.com/doaly.design.services/
160920497395560,PosterSpy,,PosterSpy,Website,0.05,12679,90,yes,https://www.facebook.com/PosterSpy/
106016059434044,Tropical Toxic,,TropicalToxic,Artist,0.01,291371,250,yes,https://www.facebook.com/TropicalToxic/
10580904993,Roger Corman,,RogerCorman,Arts & Entertainment,0,61183,48,yes,https://www.facebook.com/RogerCorman/
102321373254968,Timothy Tang Illustration,,arcade28,Artist,0,2605,1,yes,https://www.facebook.com/arcade28/
214500051990594,Fb pages: Sizes & Dimensions,,PagesSizesDimensions,Computers (Brand),0.01,172677,187,yes,https://www.facebook.com/PagesSizesDimensions/
311791322520,artofmikemignola.com,,MikeMignola1,Product/Service,0.03,54398,155,yes,https://www.facebook.com/MikeMignola1/
172113019516550,Smug Labs,,,Local Business,0,1259,21,yes,https://www.facebook.com/Smug-Labs-172113019516550/
213893898734260,Khoa Ho,,khoaho.thisisforyou,Artist,0,2060,0,no,https://www.facebook.com/khoaho.thisisforyou/
195185937726,Zombie Yeti Studios,,zombieyeti,Artist,0.02,14747,216,yes,https://www.facebook.com/zombieyeti/
167109432357,WonderCon,,WonderCon,Nonprofit Organization,0.01,73419,70,yes,https://www.facebook.com/WonderCon/
113504692041801,The Video Game Music Show,,thevideogamemusicshow,Radio Station,0.02,2139,72,yes,https://www.facebook.com/thevideogamemusicshow/
111352669019325,Gauntlet Gallery,,GauntletGallery,Art Gallery,0,9374,8,yes,https://www.facebook.com/GauntletGallery/
758824260836327,GANYA Cinema ART,,GANYACinemaArt,Artist,0.01,7608,12,yes,https://www.facebook.com/GANYACinemaArt/
168041243209222,CINE+,,cineplus.fr,TV Channel,0.12,76996,149,yes,https://www.facebook.com/cineplus.fr/
191150541024536,Stephen King,,OfficialStephenKing,Author,0.35,5170372,41532,yes,https://www.facebook.com/OfficialStephenKing/
233926569963271,ChetArt,,chetart,Artist,0.01,1864,27,no,https://www.facebook.com/chetart/
133640126673623,Moon Editions,,,Local Business,0,307,0,yes,https://www.facebook.com/Moon-Editions-133640126673623/
179776422147632,KYT Illustration & Design,,KytIllustrationDesign,Artist,0,707,0,yes,https://www.facebook.com/KytIllustrationDesign/
207911165990164,Dani BlÃ¡zquez,,daniblazquezillustration,Author,0.02,3383,4,yes,https://www.facebook.com/daniblazquezillustration/
236624379279,Hopko Movie Poster Design,,HopkoMoviePosterDesign,Local Business,0,1283,2,yes,https://www.facebook.com/HopkoMoviePosterDesign/
27538878924,Stephen King - writer,,stephenkingwriter,Author,0,579799,389,yes,https://www.facebook.com/stephenkingwriter/
231543090233889,Fans of Stephen King,,StephenKingauthor,Publisher,0.11,3646657,6567,yes,https://www.facebook.com/StephenKingauthor/
401117108635,Simoncaruso.com,,carusosimon,Artist,0.02,486,4,yes,https://www.facebook.com/carusosimon/
141840342589766,Gabz,,Grzegorz.Domaradzki,Arts & Entertainment,0.01,11342,193,yes,https://www.facebook.com/Grzegorz.Domaradzki/
135248629878082,The Dark Inker,,darkInker,Artist,0.01,2528,28,yes,https://www.facebook.com/darkInker/
111209824808,Dan Mumford,,danmumforddraws,Artist,0.03,91474,430,yes,https://www.facebook.com/danmumforddraws/
110353738994971,nimasprout,,nimasprout,Artist,0.03,5733,65,yes,https://www.facebook.com/nimasprout/
108769455819898,100% Soft,,100soft,Artist,0.01,6386,49,yes,https://www.facebook.com/100soft/
162791110085,Nerdlocker,,Nerdlocker,Arts & Entertainment,0.04,3543,38,yes,https://www.facebook.com/Nerdlocker/
441083082657006,Barbarian Factory,,BarbarianFactory,Artist,0,3226,0,yes,https://www.facebook.com/BarbarianFactory/
190455414496469,MondoCon,,mondoconaustin,Company,0,3121,4,yes,https://www.facebook.com/mondoconaustin/
37562612841,T-Bone & Aljax,,tbone.aljax,Professional Service,0,829,0,yes,https://www.facebook.com/tbone.aljax/
155702137844654,John Aslarona,,johnaslaronaarts,Artist,0.01,45450,114,yes,https://www.facebook.com/johnaslaronaarts/
466222663421610,Kikooshi,,kikooshi,Artist,0.01,4757,13,yes,https://www.facebook.com/kikooshi/
204886532868838,The ART of Stefania Santarcangelo,,theartofstefaniasantarcangelo,Artist,0,3473,3,yes,https://www.facebook.com/theartofstefaniasantarcangelo/
116426051771862,The Artwork of Christopher Vaughan Frye,,TheArtworkofChristopherVaughanFrye,Artist,0,1875,7,yes,https://www.facebook.com/TheArtworkofChristopherVaughanFrye/
134489589959277,Blurppy,,,Entertainment Website,0.01,1166,3,yes,https://www.facebook.com/Blurppy-134489589959277/
115692625189837,The Art of Graham Curran,,GCurranArt,Artist,0,934,1,yes,https://www.facebook.com/GCurranArt/
125126584189049,Phone Booth Gallery,,phoneboothgallery,Art Gallery,0,5240,2,yes,https://www.facebook.com/phoneboothgallery/
121140614729535,Marko Manev,,MarkoManevArtDesign,Artist,0,11198,14,yes,https://www.facebook.com/MarkoManevArtDesign/
140076769503650,Knb Efx,,knb.efx,Artist,0,27534,12,yes,https://www.facebook.com/knb.efx/
133849106806092,Walker Stalker Convention,,WalkerStalkerConvention,Event,0.39,801235,15171,yes,https://www.facebook.com/WalkerStalkerConvention/
361560647231478,Orlando Arocena- Mexifunk Illustrator,,OrlandoArocenaIllustrator,Artist,0.02,16923,40,no,https://www.facebook.com/OrlandoArocenaIllustrator/
142357232469757,The Art of Christopher Lovell,,TheArtofChristopherLovell,Artist,0.01,247443,1528,yes,https://www.facebook.com/TheArtofChristopherLovell/
190539407711114,Shark Bites,,sharkbitesonline,TV Show,0,2069,0,yes,https://www.facebook.com/sharkbitesonline/
610520942324555,Harlan Elam,,harlandraws,Artist,0,709,0,yes,https://www.facebook.com/harlandraws/
300450986764776,Nick Beery Collections,,NickBeeryCollections,Artist,0.02,772,3,yes,https://www.facebook.com/NickBeeryCollections/
130940650274944,Stan Winston School of Character Arts,,StanWinstonSchool,Education Website,0.32,1707113,109365,yes,https://www.facebook.com/StanWinstonSchool/
125258960871438,Richey Beckett,,richeybeckett,Artist,0.01,45399,58,yes,https://www.facebook.com/richeybeckett/
132833935397,Trailers From Hell,,trailersfromhell,Movie,0.11,11171,220,yes,https://www.facebook.com/trailersfromhell/
189937191182050,Holly's Footprint,,hollysfootprint1,Community,0,1038,0,yes,https://www.facebook.com/hollysfootprint1/
23919966078,Back To the Future,,bttfseries,Movie,0.06,2786193,56447,yes,https://www.facebook.com/bttfseries/
104016189727742,Art V Cancer,,artvcancer,Art Gallery,0,1021,0,yes,https://www.facebook.com/artvcancer/
135907266453996,Spoke Art,,spokeart,Art Gallery,0.05,189471,4399,yes,https://www.facebook.com/spokeart/
114815701868067,Greg nicotero,,,Producer,0,6933,0,no,https://www.facebook.com/pages/Greg-nicotero/114815701868067
212766738734882,cromeyellow.com,,cromeyellow,Entertainment Website,0.02,952,8,yes,https://www.facebook.com/cromeyellow/
355466117813626,Mixtape Collaborative,,,Artist,0,139,0,yes,https://www.facebook.com/Mixtape-Collaborative-355466117813626/
434486606623766,The United Geekdom,,theunitedgeekdom,Community,0,622,1,no,https://www.facebook.com/theunitedgeekdom/
314413307837,Geoff Trapp Did It,,,Artist,0,273,0,yes,https://www.facebook.com/Geoff-Trapp-Did-It-314413307837/
149247871896364,The Works of Matt Ryan,,theworksofmattryan,Artist,0.01,3862,14,yes,https://www.facebook.com/theworksofmattryan/
273727775978352,Ridge,,RidgeDrawsAndStuff,Artist,0,341,7,yes,https://www.facebook.com/RidgeDrawsAndStuff/
155771757856805,Cuyler Smith Illustration,,,Artist,0,1217,1,yes,https://www.facebook.com/Cuyler-Smith-Illustration-155771757856805/
379986778825538,Peter Pan the Musical,,PeterPanLiveNBC,TV Show,0,442710,157,yes,https://www.facebook.com/PeterPanLiveNBC/
107394042617165,Peter Pan,,,Interest,0,241043,0,no,https://www.facebook.com/pages/Peter-Pan/107394042617165
301302863233,Star Car Central - Inland Empire,,,Community,0,256,0,yes,https://www.facebook.com/Star-Car-Central-Inland-Empire-301302863233/
550244878331761,Bruce Yan,,mrbruceyan,Artist,0,809,1,yes,https://www.facebook.com/mrbruceyan/
107714439256983,Kakofonia,,,Arts & Entertainment,0,1763,1,yes,https://www.facebook.com/Kakofonia-107714439256983/
335361606197,Paul Shipper Studio,,paulshipperstudio,Artist,0.02,7847,256,yes,https://www.facebook.com/paulshipperstudio/
162003133821540,Bunny Pirates: Art by Meghan Stratman,,BunnyPirates,Artist,0.01,974,26,yes,https://www.facebook.com/BunnyPirates/
200408663317612,Shepard Fairey,,shepardfairey,Artist,0,172425,66,no,https://www.facebook.com/shepardfairey/
126782594001871,"Greg """"Craola"""" Simkins",,GregCraolaSimkins,Artist,0.03,78708,387,yes,https://www.facebook.com/GregCraolaSimkins/
180340435351184,Sho Murase,,Shomurase,Artist,0.01,9909,13,yes,https://www.facebook.com/Shomurase/
522018357832315,Adam Chung Art,,adamchungart,Personal Blog,0,286,0,yes,https://www.facebook.com/adamchungart/
289910697861040,Fabled Creative,,FabledCreative,Brand,0.04,8187,879,yes,https://www.facebook.com/FabledCreative/
112285208826172,Sean Danconia,,seandanconia,Artist,0.05,1724,12,yes,https://www.facebook.com/seandanconia/
395507403847974,Michelle Coffee,,missmichellecoffee,Artist,0.01,2612,159,yes,https://www.facebook.com/missmichellecoffee/
308385419176623,Time Out Los Angeles,,TimeOutLA,Media/News Company,0.14,149573,1406,no,https://www.facebook.com/TimeOutLA/
220931314624858,Tracie Ching,,TracieChingDesign,Artist,0.04,3040,208,yes,https://www.facebook.com/TracieChingDesign/
227647727288642,Chuck Sperry - Rock Art Illustration,,ChuckSperryArt,Artist,0.02,36790,34,yes,https://www.facebook.com/ChuckSperryArt/
205302992833989,"Samuel """"Sho"""" Ho",,nosmallvictories,Public Figure,0,1708,2,yes,https://www.facebook.com/nosmallvictories/
227579337295722,Malleus ROCK ART LAB,,malleusdelic,Artist,0.02,14012,43,yes,https://www.facebook.com/malleusdelic/
51504877506,MALLEUS Rock Art Lab,,,Product/Service,0,3637,0,yes,https://www.facebook.com/MALLEUS-Rock-Art-Lab-51504877506/
191870827546830,Bjorn Bauer Art,,bjornbauerart,Artist,0.01,655,15,no,https://www.facebook.com/bjornbauerart/
141803269192601,Phantom City Creative,,,Local Business,0.01,5630,149,yes,https://www.facebook.com/Phantom-City-Creative-141803269192601/
116500091768265,Rich Kelly Illustration,,richkellyillustration,Arts & Entertainment,0,10039,11,yes,https://www.facebook.com/richkellyillustration/
126207529128,Eelus,,eelus,Artist,0.01,10186,58,no,https://www.facebook.com/eelus/
148564961869036,Chris B. Murray,,CBMArtworks,Artist,0.02,9255,100,yes,https://www.facebook.com/CBMArtworks/
109603222399392,Arik Roper,,,Local Business,0,2001,0,no,https://www.facebook.com/pages/Arik-Roper/109603222399392
130499853680724,Andrew Heath,,AndrewHeathDesign,Artist,0.03,2338,44,no,https://www.facebook.com/AndrewHeathDesign/
271340272908020,Adam Wheatley,,,Artist,0,108,1,yes,https://www.facebook.com/Adam-Wheatley-271340272908020/
197401676950391,Godmachine,,theoriginalgodmachine,Artist,0.01,69779,27,no,https://www.facebook.com/theoriginalgodmachine/
178827615529939,Nerd Caves,,NerdCaves,TV Show,0,2481,0,yes,https://www.facebook.com/NerdCaves/
