Id,Label,timeset,username,category,post_activity,fan_count,talking_about_count,users_can_post,link
22092443056,Starbucks,,Starbucks,Food & Beverage Company,0.97,37192082,157031,yes,https://www.facebook.com/Starbucks/
50218738285,A Place Called Home,,APCH2830,Nonprofit Organization,0.03,6965,93,yes,https://www.facebook.com/APCH2830/
1568217016773241,Starbucks Reserve,,starbucksreserveroastery,Brand,0,10727,1185,yes,https://www.facebook.com/starbucksreserveroastery/
321602198304128,Princi,,thisisprinci,Restaurant,0.01,2063,50,yes,https://www.facebook.com/thisisprinci/
168518823663369,Hello Darling Blog,,hellodarlingblog,Blogger,0.01,742,3,yes,https://www.facebook.com/hellodarlingblog/
380020751696,My Baking Addiction,,mybakingaddiction,Blogger,0.37,4495619,175162,yes,https://www.facebook.com/mybakingaddiction/
165182143467,Shrimp Salad Circus - A DIY Blog,,ShrimpSaladCircus,Home & Garden Website,0.01,7172,24,yes,https://www.facebook.com/ShrimpSaladCircus/
1620267981574216,Sharon Stone,,sharonstoneofficial,Artist,0.06,617824,8399,yes,https://www.facebook.com/sharonstoneofficial/
241100506423,Aloe Blacc,,aloeblacc,Musician/Band,0.04,543068,717,yes,https://www.facebook.com/aloeblacc/
6564142497,Usher,,usher,Musician/Band,0.01,44751431,47515,no,https://www.facebook.com/usher/
46481584202,Common,,thinkcommon,Musician/Band,0.03,2754644,3067,yes,https://www.facebook.com/thinkcommon/
156195014444203,Lin-Manuel Miranda,,,Writer,0,1080386,4935,yes,https://www.facebook.com/Lin-Manuel-Miranda-156195014444203/
201553549908102,Brit + Co,,britandco,News & Media Website,0.9,1204272,42720,yes,https://www.facebook.com/britandco/
269626263209765,RSVP,,Refinery29RSVP,News & Media Website,0.58,223596,4332,yes,https://www.facebook.com/Refinery29RSVP/
86973707921,Refinery29,,refinery29,News & Media Website,2.12,5750302,259479,yes,https://www.facebook.com/refinery29/
1454238884806475,Starbucks Panamá,,StarbucksPanama,Coffee Shop,0.02,63847,49,yes,https://www.facebook.com/StarbucksPanama/
802058733151542,Starbucks Colombia,,StarbucksColombia,Coffee Shop,0.04,233058,3578,yes,https://www.facebook.com/StarbucksColombia/
92896153814,Zoya Nail Polish and Treatments,,ZoyaNailPolish,Cosmetics Store,0.04,493194,2175,yes,https://www.facebook.com/ZoyaNailPolish/
5027904559,Shakira,,shakira,Musician/Band,0.11,102450260,146126,yes,https://www.facebook.com/shakira/
266351330231,UNIQLO USA,,uniqlo.us,Clothing (Brand),0.04,924435,3103,no,https://www.facebook.com/uniqlo.us/
24547752280,MoMA The Museum of Modern Art,,MuseumofModernArt,Nonprofit Organization,0.06,2045242,22456,yes,https://www.facebook.com/MuseumofModernArt/
11081890741,Disneyland,,Disneyland,Amusement & Theme Park,0.04,17826997,89505,yes,https://www.facebook.com/Disneyland/
131919125415,Rachel Zoe,,rachelzoe,Public Figure,0.05,998028,1223,yes,https://www.facebook.com/rachelzoe/
10737653985,kate spade new york,,katespadeny,Product/Service,0.01,3577883,10915,no,https://www.facebook.com/katespadeny/
122792026424,Burberry,,Burberry,Clothing (Brand),0.01,17296144,15754,no,https://www.facebook.com/Burberry/
160386677390968,tokomo by TOMOKO SHINTANI,,rakugaking,Artist,0,27468,259,yes,https://www.facebook.com/rakugaking/
16714458909,Teavana,,teavana,Food & Beverage Company,0,492894,1305,no,https://www.facebook.com/teavana/
107831491001,Starbucks Partners,,starbuckspartners,Food & Beverage,0.05,370684,2511,yes,https://www.facebook.com/starbuckspartners/
6829493713,(RED),,joinred,Nonprofit Organization,0.16,3939850,2700,yes,https://www.facebook.com/joinred/
334754476575920,Evolution Fresh,,EvolutionFresh,Product/Service,0.01,104711,168,yes,https://www.facebook.com/EvolutionFresh/
205842302816401,Create Jobs For USA,,createjobsforUSA,Cause,0,143649,44,yes,https://www.facebook.com/createjobsforUSA/
159881487393275,Every Mother Counts,,everymothercounts,Nonprofit Organization,0.04,113441,161,yes,https://www.facebook.com/everymothercounts/
19958618010,Starbucks Frappuccino,,Frappuccino,Food & Beverage Company,0,11945965,11832,yes,https://www.facebook.com/Frappuccino/
117420464947628,Seattle's Best Coffee,,SeattlesBestCoffee,Food & Beverage Company,0.01,859718,3867,yes,https://www.facebook.com/SeattlesBestCoffee/
335713182708,Tazo Tea,,tazo,Food & Beverage Company,0.01,215650,140,yes,https://www.facebook.com/tazo/
18918509840,Fair Trade Certified,,fairtradecertified,Nonprofit Organization,0.03,197147,203,yes,https://www.facebook.com/fairtradecertified/
67757651619,Playing For Change,,PlayingForChange,Arts & Entertainment,0.11,674152,25110,yes,https://www.facebook.com/PlayingForChange/
